,date,high,volume,FF,dilution
220,2014-12-30,19.70406482523463,229300,21.56,False
221,2014-12-31,19.453341395396944,380800,21.56,False
222,2015-01-02,19.39434314013397,420900,21.56,False
223,2015-01-05,18.84865288890762,246500,21.56,False
224,2015-01-06,18.878148348090658,271500,21.56,False
225,2015-01-07,18.929762365426654,175400,21.56,False
226,2015-01-08,19.26160896052245,192800,21.56,False
227,2015-01-09,19.844176471895327,306000,21.56,False
228,2015-01-12,20.294004434100025,398800,21.56,False
229,2015-01-13,20.70696507885655,382400,21.56,False
230,2015-01-14,20.4857375301076,237100,21.56,False
231,2015-01-15,20.316129116821454,187000,21.56,False
232,2015-01-16,20.257139186074845,132500,21.56,False
233,2015-01-20,20.131775639739548,294300,21.56,False
234,2015-01-21,20.1760213018949,284500,21.56,False
235,2015-01-22,20.62585346382523,536900,21.56,False
236,2015-01-23,21.260038815909304,258500,21.56,False
237,2015-01-26,21.171544594851213,147700,21.56,False
238,2015-01-27,21.053559485585392,210700,21.56,False
239,2015-01-28,21.11992719924754,148000,21.56,False
240,2015-01-29,20.839707056898263,155100,21.56,False
241,2015-01-30,20.99456399787807,126100,21.56,False
242,2015-02-02,21.001940644561785,328600,21.56,False
243,2015-02-03,21.82785502694546,768900,21.56,False
244,2015-02-04,21.790984680261342,642300,21.56,False
245,2015-02-05,21.746738928090867,136700,21.56,False
246,2015-02-06,21.739363208332303,106200,21.56,False
247,2015-02-09,22.226066300496548,434600,21.56,False
248,2015-02-10,22.454673361318754,206800,21.56,False
249,2015-02-11,22.388304893400008,94900,21.56,False
250,2015-02-12,22.521040455687757,208300,21.56,False
251,2015-02-13,22.88237753360217,421300,21.58,True
252,2015-02-17,23.007737645278915,861100,21.58,False
253,2015-02-18,23.310087699791445,1740300,21.58,False
254,2015-02-19,24.31299335523051,594900,21.58,False
255,2015-02-20,24.08439050919472,314700,21.58,False
256,2015-02-23,24.20974857084479,220000,21.58,False
257,2015-02-24,24.29824079602023,164900,21.58,False
258,2015-02-25,24.578469223590716,277400,21.58,False
259,2015-02-26,24.932425518167317,293700,21.58,False
260,2015-02-27,25.58873498412947,512400,21.58,False
261,2015-03-02,26.141812879299664,417700,21.58,False
262,2015-03-03,26.090192627751254,599200,21.58,False
263,2015-03-04,26.289296265474984,288800,21.58,False
264,2015-03-05,26.106426268784585,348000,21.58,False
265,2015-03-06,25.876501660237928,281800,21.58,False
266,2015-03-09,25.995167991167417,183200,21.58,False
267,2015-03-10,25.691088439142646,277700,21.58,False
268,2015-03-11,25.646589602250103,244600,21.58,False
269,2015-03-12,26.002587610031338,350500,21.58,False
270,2015-03-13,26.210255662896756,336200,21.58,False
271,2015-03-16,26.29924710196168,203800,21.58,False
272,2015-03-17,26.232499629566497,147600,21.58,False
273,2015-03-18,26.380834228977147,114000,21.58,False
274,2015-03-19,26.440166366179028,226400,21.58,False
275,2015-03-20,26.595916571244366,287400,21.58,False
276,2015-03-23,26.796163280726415,126700,21.58,False
277,2015-03-24,26.633001751176266,178200,21.58,False
278,2015-03-25,26.03225246135651,176800,21.58,False
279,2015-03-26,25.89133572756928,94200,21.58,False
280,2015-03-27,26.18058884689488,125700,21.58,False
281,2015-03-30,26.469828860702947,237300,21.58,False
282,2015-03-31,26.633000315917954,202800,21.58,False
283,2015-04-01,26.417916182183106,326800,21.58,False
284,2015-04-02,26.187999785840205,119300,21.58,False
285,2015-04-06,26.440158501417468,156000,21.58,False
286,2015-04-07,26.38825363974922,170700,21.58,False
287,2015-04-08,26.202837064647074,226200,21.58,False
288,2015-04-09,25.995165346759023,240100,21.58,False
289,2015-04-10,25.44634286574538,117100,21.58,False
290,2015-04-13,24.979091668991426,446600,21.58,False
291,2015-04-14,25.19418169143217,236300,21.58,False
292,2015-04-15,25.59466997009134,78000,21.58,False
293,2015-04-16,25.21643157947217,90200,21.58,False
294,2015-04-17,24.593434934573,354300,21.58,False
295,2015-04-20,24.99393322675087,163500,21.58,False
296,2015-04-21,25.14968057596931,103400,21.58,False
297,2015-04-22,24.66759742420231,95000,21.58,False
298,2015-04-23,24.556350356779234,178300,21.58,False
299,2015-04-24,24.62309832062443,138900,21.58,False
300,2015-04-27,24.66018290187013,382300,21.58,False
301,2015-04-28,24.311604355260048,434200,21.58,False
302,2015-04-29,24.393182011926545,243500,21.58,False
303,2015-04-30,23.822107114898998,1006100,21.58,False
304,2015-05-01,22.88761710177357,426500,21.58,False
305,2015-05-04,22.895034513990446,409100,21.58,False
306,2015-05-05,22.687368665055324,296700,21.58,False
307,2015-05-06,22.249789313527558,197100,21.58,False
308,2015-05-07,22.19045629783107,291600,21.58,False
309,2015-05-08,22.427787896161327,154200,21.58,False
310,2015-05-11,22.487120221300415,175800,21.58,False
311,2015-05-12,22.138537098003503,246200,21.58,False
312,2015-05-13,21.819626931418973,173400,21.58,False
313,2015-05-14,22.04954312629143,392200,21.58,False
314,2015-05-15,21.7825418908706,201400,21.58,False
315,2015-05-18,22.301705135373613,226400,21.58,False
316,2015-05-19,22.29428958721002,174900,21.58,False
317,2015-05-20,21.90862879806871,122000,21.58,False
318,2015-05-21,22.019879813602863,142800,21.58,False
319,2015-05-22,21.990209325670087,169900,21.58,False
320,2015-05-26,22.027292068797212,170200,21.58,False
321,2015-05-27,22.06436931653624,207700,21.58,False
322,2015-05-28,21.775129315103044,136000,21.58,False
323,2015-05-29,21.64162413413036,262900,21.58,False
324,2015-06-01,21.27821354965558,742400,21.58,False
325,2015-06-02,20.870300497093424,499600,21.58,False
326,2015-06-03,21.17438556668798,249300,21.58,False
327,2015-06-04,21.137612561625343,156400,21.58,False
328,2015-06-05,21.60069807910469,237800,21.58,False
329,2015-06-08,21.555885520754394,199800,21.58,False
330,2015-06-09,21.384094680787708,248000,21.58,False
331,2015-06-10,21.35421799455931,232600,21.58,False
332,2015-06-11,21.518539837149763,158300,21.58,False
333,2015-06-12,21.32434222727036,160800,21.58,False
334,2015-06-15,21.60816882249051,445900,21.58,False
335,2015-06-16,21.570823190357263,230200,21.58,False
336,2015-06-17,21.511068909325246,210500,21.58,False
337,2015-06-18,22.623972604525754,673600,21.58,False
338,2015-06-19,22.58662290762136,282100,21.58,False
339,2015-06-22,23.064647697402886,224200,21.58,False
340,2015-06-23,22.81816538026638,157700,21.58,False
341,2015-06-24,22.765878882847563,120800,21.58,False
342,2015-06-25,22.65384589286937,190000,21.58,False
343,2015-06-26,23.744333550040164,594300,21.58,False
344,2015-06-29,23.766747889947894,365800,21.58,False
345,2015-06-30,23.027298746334168,295400,21.58,False
346,2015-07-01,23.228968384800133,280800,21.58,False
347,2015-07-02,23.363410029219576,173500,21.58,False
348,2015-07-06,23.191624057467365,142200,21.58,False
349,2015-07-07,23.154280513790873,206000,21.58,False
350,2015-07-08,23.027302151990305,130900,21.58,False
351,2015-07-09,23.154280223085692,126700,21.58,False
352,2015-07-10,23.460509518627457,234400,21.58,False
353,2015-07-13,23.796621553047746,185800,21.58,False
354,2015-07-14,24.521128472206986,306300,21.58,False
355,2015-07-15,24.4837774179446,219300,21.58,False
356,2015-07-16,24.521127387053703,169300,21.58,False
357,2015-07-17,24.550997833477098,144200,21.58,False
358,2015-07-20,24.640632239350147,203400,21.58,False
359,2015-07-21,24.476318247469447,299700,21.58,False
360,2015-07-22,24.394152196157915,251000,21.58,False
361,2015-07-23,24.543532729450455,259500,21.58,False
362,2015-07-24,24.229829217168344,268700,21.58,False
363,2015-07-27,23.206560027902015,146200,21.58,False
364,2015-07-28,23.169213963679386,1044200,21.58,False
365,2015-07-29,22.818167179550052,377200,21.58,False
366,2015-07-30,24.11780063695653,576900,21.58,False
367,2015-07-31,24.162609317966705,304200,21.58,False
368,2015-08-03,24.237299337738207,189200,21.58,False
369,2015-08-04,24.08791346566392,142300,21.58,False
370,2015-08-05,23.91612244243182,264700,21.58,False
371,2015-08-06,23.228966943990542,499000,21.58,False
372,2015-08-07,22.54180779238486,357400,21.58,False
373,2015-08-10,22.325200838754785,294500,21.58,False
374,2015-08-11,22.228104520727815,357500,21.58,False
375,2015-08-12,21.466252408270307,405000,21.58,False
376,2015-08-13,21.966688306225908,446600,21.58,False
377,2015-08-14,22.033911215961336,204000,21.58,False
378,2015-08-17,22.99742542462277,388800,21.58,False
379,2015-08-18,22.975018567921328,256100,21.58,False
380,2015-08-19,23.303660808791566,325600,21.58,False
381,2015-08-20,22.952610804994862,750800,21.58,False
382,2015-08-21,22.34014106110557,570900,21.58,False
383,2015-08-24,21.010637837685344,652000,21.58,False
384,2015-08-25,21.570821372094642,413000,21.58,False
385,2015-08-26,21.63804237311041,202300,21.58,False
386,2015-08-27,21.936810686108156,162600,21.58,False
387,2015-08-28,21.914402012245144,141200,21.58,False
388,2015-08-31,21.87705925205918,173700,21.58,False
389,2015-09-01,21.473726977248106,242900,21.58,False
390,2015-09-02,20.89859720171288,223900,21.58,False
391,2015-09-03,21.18490924894702,297200,21.58,False
392,2015-09-04,21.02692900605518,168000,21.58,False
393,2015-09-08,21.478310524509652,145500,21.58,False
394,2015-09-09,21.32032596241459,161300,21.58,False
395,2015-09-10,20.530402382155167,180200,21.58,False
396,2015-09-11,20.312239837791086,162900,21.58,False
397,2015-09-14,20.477741958663273,97000,21.58,False
398,2015-09-15,20.470219638136417,100900,21.58,False
399,2015-09-16,20.703436665179666,84600,21.58,False
400,2015-09-17,21.004357124105578,88400,21.58,False
401,2015-09-18,21.094630572145782,307700,21.58,False
402,2015-09-21,21.28270730059122,203900,21.58,False
403,2015-09-22,20.312239522872368,129500,21.58,False
404,2015-09-23,19.86837501804598,185700,21.58,False
405,2015-09-24,19.439560147099925,290800,21.58,False
406,2015-09-25,19.424516797037004,217600,21.58,False
407,2015-09-28,19.153685576867503,199100,21.58,False
408,2015-09-29,18.657166537908587,174900,21.58,False
409,2015-09-30,18.995701329200113,182100,21.58,False
410,2015-10-01,19.063408500138063,158200,21.58,False
411,2015-10-02,19.02579628846232,228600,21.58,False
412,2015-10-05,19.627636527694854,151600,21.58,False
413,2015-10-06,19.88341924740999,215700,21.58,False
414,2015-10-07,20.1316839895444,133300,21.58,False
415,2015-10-08,20.60563518587443,337400,21.58,False
416,2015-10-09,20.86141566470562,294800,21.58,False
417,2015-10-12,20.673340196045,182400,21.58,False
418,2015-10-13,21.19243337864346,165000,21.58,False
419,2015-10-14,20.613155950889833,167700,21.58,False
420,2015-10-15,20.560497663687226,450200,21.58,False
421,2015-10-16,20.47774248121628,107900,21.58,False
422,2015-10-19,20.552973785455006,155000,21.58,False
423,2015-10-20,20.364893067462308,225500,21.58,False
424,2015-10-21,20.011315271805508,192100,21.58,False
425,2015-10-22,19.86837381181025,148200,21.58,False
426,2015-10-23,20.199388866653123,137100,21.58,False
427,2015-10-26,20.199389372327936,109300,21.58,False
428,2015-10-27,19.860849099566792,241100,21.58,False
429,2015-10-28,20.914081578378408,267100,21.58,False
430,2015-10-29,20.726002602763707,136400,21.58,False
431,2015-10-30,20.74105159127056,223200,21.58,False
432,2015-11-02,20.84637027390735,403700,21.58,False
433,2015-11-03,20.733528387322597,718800,21.58,False
434,2015-11-04,19.958650751493998,474900,21.58,False
435,2015-11-05,20.44765100864467,346700,21.58,False
436,2015-11-06,20.688387514924052,319300,21.58,False
437,2015-11-09,20.4476495913398,256000,21.58,False
438,2015-11-10,20.65829440421593,204900,21.58,False
439,2015-11-11,20.71095718150718,121500,21.58,False
440,2015-11-12,20.477744155985107,117900,21.58,False
441,2015-11-13,20.06397433782436,113000,21.58,False
442,2015-11-16,19.732964079701958,123200,21.58,False
443,2015-11-17,19.74048306453607,169700,21.58,False
444,2015-11-18,19.928561012966743,307600,21.58,False
445,2015-11-19,19.717912981046933,145000,21.58,False
446,2015-11-20,19.529834667113747,105700,21.58,False
447,2015-11-23,19.34176405285796,248000,21.58,False
448,2015-11-24,18.84524192878797,189100,21.58,False
449,2015-11-25,19.168729993451617,213700,21.58,False
450,2015-11-27,19.168731018236574,65200,21.58,False
451,2015-11-30,19.198823802259117,292700,21.58,False
452,2015-12-01,19.416991494318474,128500,21.58,False
453,2015-12-02,19.16873188897686,167800,21.58,False
454,2015-12-03,18.8085393499009,185200,21.58,False
455,2015-12-04,18.755449883119855,188300,21.58,False
456,2015-12-07,17.868116837137016,414500,21.58,False
457,2015-12-08,18.125974910463857,211500,21.58,False
458,2015-12-09,17.96670911349722,204900,21.58,False
459,2015-12-10,17.981878063478387,157800,21.58,False
460,2015-12-11,17.936368812237045,374600,21.58,False
461,2015-12-14,17.754355193773463,173000,21.58,False
462,2015-12-15,18.436919331155845,242600,21.58,False
463,2015-12-16,19.35459575008631,372000,21.58,False
464,2015-12-17,19.62004016047951,481600,21.58,False
465,2015-12-18,19.362181749353848,476200,21.58,False
466,2015-12-21,18.945058589428044,211700,21.58,False
467,2015-12-22,18.763037168527884,223100,21.58,False
468,2015-12-23,18.66444463078761,335500,21.58,False
469,2015-12-24,17.837781660176155,228100,21.58,False
470,2015-12-28,17.64059354368215,420800,21.58,False
471,2015-12-29,17.860529328223354,290100,21.58,False
472,2015-12-30,18.103221089063826,247200,21.58,False
473,2015-12-31,18.353497018871774,228500,21.58,False
474,2016-01-04,18.019795656750684,457900,21.58,False
475,2016-01-05,18.065300081970676,550500,21.58,False
476,2016-01-06,18.095636809461947,313000,21.58,False
477,2016-01-07,17.496493642817896,496900,21.58,False
478,2016-01-08,17.42823397206516,293700,21.58,False
479,2016-01-11,17.322060171960423,527100,21.58,False
480,2016-01-12,17.22346696006067,378000,21.58,False
481,2016-01-13,17.170376017309678,277300,21.58,False
482,2016-01-14,16.715334132845452,255400,21.58,False
483,2016-01-15,16.19961658600941,500400,21.58,False
484,2016-01-19,16.283041283927524,213300,21.58,False
485,2016-01-20,15.585303832241216,205500,21.58,False
486,2016-01-21,15.600471970412707,154700,21.58,False
487,2016-01-22,15.68389638557237,203300,21.58,False
488,2016-01-25,15.38811825850899,128800,21.58,False
489,2016-01-26,16.57123630186852,210000,21.58,False
490,2016-01-27,16.472642870237852,351800,21.58,False
491,2016-01-28,15.95692127350478,131300,21.58,False
492,2016-01-29,16.533315658569336,223600,21.58,False
493,2016-02-01,16.427138265463004,153200,21.58,False
494,2016-02-02,16.070684334044074,224700,21.58,False
495,2016-02-03,16.040345248242605,147200,21.58,False
496,2016-02-04,16.51814887452479,253500,21.58,False
497,2016-02-05,16.669831298968507,412100,21.58,False
498,2016-02-08,15.759738678995891,333100,21.58,False
499,2016-02-09,15.547382496719427,170200,21.58,False
500,2016-02-10,15.8810837856951,166100,21.58,False
501,2016-02-11,15.774903472832811,153200,21.58,False
502,2016-02-12,15.843162045265625,434600,21.61,True
503,2016-02-16,17.140041786684993,331500,21.61,False
504,2016-02-17,17.450991199299686,273100,21.61,False
505,2016-02-18,16.639490440346787,187200,21.61,False
506,2016-02-19,16.616742317827715,127400,21.61,False
507,2016-02-22,17.049029294377455,162100,21.61,False
508,2016-02-23,17.033862364953027,222600,21.61,False
509,2016-02-24,17.193131064213016,137600,21.61,False
510,2016-02-25,17.185544775259597,191500,21.61,False
511,2016-02-26,17.792272357765818,275600,21.61,False
512,2016-02-29,19.142243543017987,701500,21.61,False
513,2016-03-01,19.27117424454178,383900,21.61,False
514,2016-03-02,19.256007381234824,177300,21.61,False
515,2016-03-03,19.707263769134464,264500,21.61,False
516,2016-03-04,20.82334480340543,1264100,21.61,False
517,2016-03-07,21.97000310237458,433500,21.61,False
518,2016-03-08,22.046446423065916,486000,21.61,False
519,2016-03-09,22.07702753765407,308400,21.61,False
520,2016-03-10,22.20698177522068,242000,21.61,False
521,2016-03-11,22.719154283362506,299300,21.61,False
522,2016-03-14,22.87204792907465,187300,21.61,False
523,2016-03-15,22.512764223158797,259200,21.61,False
524,2016-03-16,22.390448602545174,383700,21.61,False
525,2016-03-17,22.38280579644774,377700,21.61,False
526,2016-03-18,22.535692118796266,659600,21.61,False
527,2016-03-21,22.550981973803673,207700,21.61,False
528,2016-03-22,22.13053930660309,346600,21.61,False
529,2016-03-23,22.168761488332066,229100,21.61,False
530,2016-03-24,21.480764075314656,200200,21.61,False
531,2016-03-28,22.168757602341238,224700,21.61,False
532,2016-03-29,22.20698177522068,215900,21.61,False
533,2016-03-30,21.870631584417993,258700,21.61,False
534,2016-03-31,21.885916236079673,209800,21.61,False
535,2016-04-01,21.9700066126375,273500,21.61,False
